Healthcare Services,1919,1,,,,,Category,1
All,1158,,,,,,,
Retail,1081,1,,,,,,
Other/Not Classified,1048,,,,,,,
Manufacturing - Other,885,1,,,,,,
Computer/IT Services,822,1,,,,,,
Legal Services,466,1,,,,,,
Business Services - Other,410,1,,,,,,
Restaurant/Food Services,384,1,,,,,,
Transport and Storage - Materials,342,1,,,,,,
Food and Beverage Production,341,1,,,,,,
Insurance,338,1,,,,,,
Construction - Industrial Facilities and Infrastructure,308,1,,,,,,
Accounting and Auditing Services,298,1,,,,,,
Biotechnology/Pharmaceuticals,256,1,,,,,,
Education,244,1,,,,,,
Real Estate/Property Management,227,1,,,,,,
Staffing/Employment Agencies,221,1,,,,,,
Banking,170,1,,,,,,
Computer Software,163,1,,,,,,
Construction - Residential & Commercial/Office,148,1,,,,,,
Automotive and Parts Mfg,138,1,,,,,,
Engineering Services,137,1,,,,,,
Telecommunications Services,124,1,,,,,,
Financial Services,124,1,,,,,,
Energy and Utilities,121,1,,,,,,
Hotels and Lodging,121,1,,,,,,
Automotive Sales and Repair Services,121,1,,,,,,
Aerospace and Defense,119,1,,,,,,
Government and Military,111,1,,,,,,
Nonprofit Charitable Organizations,110,1,,,,,,
Security and Surveillance,107,1,,,,,,
Healthcare Services Other/Not Classified,107,1,,,,,,
Medical Devices and Supplies,101,1,,,,,,
Advertising and PR Services;Staffing/Employment Agencies;Business Services - Other,96,1,,,,,,
Management Consulting Services,95,1,,,,,,
"Travel, Transportation and Tourism",80,1,,,,,,
Advertising and PR Services,74,1,,,,,,
Computer Hardware,61,1,,,,,,
Healthcare Services Restaurant/Food Services Food and Beverage Production,54,,,,,,,
Printing and Publishing,52,1,,,,,,
Consumer Packaged Goods Manufacturing,49,1,,,,,,
"Electronics, Components, and Semiconductor Mfg",47,1,,,,,,
Chemicals/Petro-Chemicals,44,1,,,,,,
Internet Services,43,1,,,,,,
RetailAdvertising and PR ServicesBusiness Services - Other,36,,,,,,,
Architectural and Design Services,34,1,,,,,,
Wholesale Trade/Import-Export,31,1,,,,,,
"Travel, Transportation and TourismTransport and Storage - Materials",27,1,,,,,,
Agriculture/Forestry/Fishing,26,1,,,,,,
AllBusiness Services - Other,26,,,,,,,
RetailAdvertising and PR ServicesManagement Consulting Services,23,1,,,,,,
"Computer Software, Computer/IT Services",22,,,,,,,
Entertainment Venues and Theaters,20,1,,,,,,
Advertising and PR ServicesManagement Consulting ServicesBusiness Services - Other,18,,,,,,,
Computer HardwareComputer SoftwareComputer/IT Services,18,,,,,,,
Advertising and PR Services Management Consulting Services Business Services - Other,17,,,,,,,
Construction - Industrial Facilities and InfrastructureConstruction - Residential & Commercial/Office,17,,,,,,,
"Dallas, TX",16,,,,,,,
Computer SoftwareComputer/IT Services,16,,,,,,,
Healthcare Services Hotels and Lodging Restaurant/Food Services,16,,,,,,,
Personal and Household Services,16,1,,,,,,
Waste Management,15,1,,,,,,
RetailAdvertising and PR ServicesOther/Not Classified,15,,,,,,,
Biotechnology/PharmaceuticalsManufacturing - OtherMedical Devices and Supplies,14,,,,,,,
Metals and Minerals,14,1,,,,,,
Sports and Physical Recreation,13,1,,,,,,
Automotive and Parts MfgManufacturing - Other,12,,,,,,,
AllReal Estate/Property ManagementConstruction - Residential & Commercial/Office,12,,,,,,,
