Experienced (Non-Manager),4594,,,,,,Category,1
Medical/Health,1254,1,,,,,,
Entry Level,1172,,,,,,,
Sales/Retail/Business Development,938,1,,,,,,
Manager (Manager/Supervisor of Staff),900,,,,,,,
IT/Software Development,861,1,,,,,,
Project/Program Management,790,1,,,,,,
Accounting/Finance/Insurance,742,1,,,,,,
Food Services/Hospitality,633,1,,,,,,
Installation/Maintenance/Repair,574,1,,,,,,
Manufacturing/Production/Operations,544,1,,,,,,
Logistics/Transportation,371,1,,,,,,
Customer Support/Client Care,328,1,,,,,,
Quality Assurance/Safety,323,1,,,,,,
Security/Protective Services,311,1,,,,,,
Marketing/Product,311,1,,,,,,
Administrative/Clerical,271,1,,,,,,
Legal,237,1,,,,,,
Human Resources,205,1,,,,,,
Engineering,153,1,,,,,,
Business/Strategic Management,124,1,,,,,,
Biotech/R&D/Science,121,1,,,,,,
Education/Training,115,1,,,,,,
General/Other: IT/Software Development,112,,,,,,,
Building Construction/Skilled Trades,91,1,,,,,,
General/Other: Medical/Health,84,,,,,,,
"Executive (SVP, VP, Department Head, etc)",67,,,,,,,
Other,59,,,,,,,
Student (High School),48,,,,,,,
Environmental/Geological Testing & Analysis,39,1,,,,,,
Banking/Real Estate/Mortgage Professionals,37,,,,,,,
Student (Undergraduate/Graduate),23,,,,,,,
Retail,23,1,,,,,,
Editorial/Writing,21,1,,,,,,
Student,19,,,,,,,
General/Other: Quality Assurance/Safety,18,,,,,,,
Creative/Design,13,1,,,,,,
General/Other: R&D/Science,11,,,,,,,
General/Other: Administrative/Clerical,11,,,,,,,
Computer/Network SecurityGeneral/Other: IT/Software Development,11,,,,,,,
General/Other: Engineering,11,,,,,,,
Laboratory/Pathology,8,,,,,,,
General/Other: Customer Support/Client Care,8,,,,,,,
Dental Practitioner,7,,,,,,,
"Senior Executive (President, CFO, etc)",6,,,,,,,
General/Other: Project/Program Management,6,,,,,,,
Career Level Experienced (Non-Manager),6,,,,,,,
Civil & Structural EngineeringGeneral/Other: Engineering,6,,,,,,,
Project Management,6,,,,,,,
General/Other: Human Resources,6,,,,,,,
General/Other: Installation/Maintenance/Repair,5,,,,,,,
General/Other: Sales/Business Development,5,,,,,,,
Insurance Agent/BrokerGeneral/Other: Sales/Business DevelopmentFinancial Products Sales/Brokerage,5,,,,,,,
General/Other: Production/Operations,5,,,,,,,
General/Other: Installation/Maintenance/RepairVehicle Repair and Maintenance,4,,,,,,,
Nursing,4,,,,,,,
Telecommunications Administration/Management,4,,,,,,,
Career Level Entry Level,3,,,,,,,
Systems Analysis - IT,3,,,,,,,
Field SalesGeneral/Other: Sales/Business DevelopmentStore/Branch Management,3,,,,,,,
Education Level Bachelor's Degree,3,,,,,,,
Brand/Product Marketing General/Other: Marketing/Product Product Management,3,,,,,,,
Mental Health,3,,,,,,,
General/Other: Accounting/Finance,3,,,,,,,
IT Project ManagementGeneral/Other: Project/Program ManagementProject Management,3,,,,,,,
Education Level High School or equivalent,3,,,,,,,
Medical Therapy/Rehab Services General/Other: Medical/Health Public Health Administration,2,,,,,,,
NursingGeneral/Other: Medical/Health,2,,,,,,,
General/Other: Marketing/Product,2,,,,,,,
Food Preparation/Cooking,2,,,,,,,
Oil Rig & Pipeline Install/Maintain/Repair,2,,,,,,,
Education Level Associate Degree,2,,,,,,,
Software/Web Development,2,,,,,,,
General/Other: Food Services,2,,,,,,,
General/Other: Business/Strategic ManagementStore/Branch ManagementHotel/Lodging Management,2,,,,,,,
Production Quality Assurance,2,,,,,,,
Account Management (Non-Commissioned)General/Other: Customer Support/Client CareRetail Customer Service,2,,,,,,,
Database Development/Administration,2,,,,,,,
Computer/Electronics/Telecomm Install/Maintain/RepairGeneral/Other: Installation/Maintenance/Repair,2,,,,,,,
Brand/Product MarketingGeneral/Other: Marketing/ProductProduct Management,2,,,,,,,
Computer/Electronics/Telecomm Install/Maintain/Repair,2,,,,,,,
Business Development/New Accounts General/Other: Sales/Business Development Technical Presales Support & Technical Sales,2,,,,,,,
Business Development/New AccountsGeneral/Other: Sales/Business DevelopmentFinancial Products Sales/Brokerage,2,,,,,,,
Administrative SupportOffice ManagementGeneral/Other: Administrative/Clerical,2,,,,,,,
Accounts Payable/ReceivableGeneral/Other: Accounting/FinanceCorporate Accounting,2,,,,,,,
