Medical/Health,,,,,Healthcare Services,,,,,,Medical/Health,
Sales/Retail/Business Development,,,,,Retail,,,,,,Sales/Retail/Business Development,
IT/Software Development,,,,,Manufacturing - Other,,,,,,Manufacturing/Production/Operations,
Project/Program Management,,,,,Computer/IT Services,,,,,,IT/Software Development,
Accounting/Finance/Insurance,,,,,Legal Services,,,,,,,
Food Services/Hospitality,,,,,Business Services - Other,,,,,,,
Installation/Maintenance/Repair,,,,,Restaurant/Food Services,,,,,,Food Services/Hospitality,
Manufacturing/Production/Operations,,,,,Transport and Storage - Materials,,,,,,,
Logistics/Transportation,,,,,Food and Beverage Production,,,,,,,
Customer Support/Client Care,,,,,Insurance,,,,,,,
Quality Assurance/Safety,,,,,Construction - Industrial Facilities and Infrastructure,,,,,,,
Security/Protective Services,,,,,Accounting and Auditing Services,,,,,,,
Marketing/Product,,,,,Biotechnology/Pharmaceuticals,,,,,,,
Administrative/Clerical,,,,,Education,,,,,,,
Legal,,,,,Real Estate/Property Management,,,,,,,
Human Resources,,,,,Staffing/Employment Agencies,,,,,,,
Engineering,,,,,Banking,,,,,,,
Business/Strategic Management,,,,,Computer Software,change it,,,,,,
Biotech/R&D/Science,,,,,Construction - Residential & Commercial/Office,change it,,,,,,
Education/Training,,,,,Automotive and Parts Mfg,,,,,,,
Building Construction/Skilled Trades,,,,,Engineering Services,,,,,,,
Environmental/Geological Testing & Analysis,,,,,Telecommunications Services,,,,,,,
Retail,,,,,Financial Services,,,,,,,
Editorial/Writing,,,,,Energy and Utilities,,,,,,,
Creative/Design,,,,,Hotels and Lodging,,,,,,,
,,,,,Automotive Sales and Repair Services,,,,,,,
,,,,,Aerospace and Defense,,,,,,,
,,,,,Government and Military,,,,,,,
,,,,,Nonprofit Charitable Organizations,,,,,,,
,,,,,Security and Surveillance,,,,,,,
,,,,,Healthcare Services Other/Not Classified,remove,,,,,,
,,,,,Medical Devices and Supplies,,,,,,,
,,,,,Advertising and PR Services;Staffing/Employment Agencies;Business Services - Other,remove,,,,,,
,,,,,Management Consulting Services,,,,,,,
,,,,,Travel, Transportation and Tourism,,,,,,
,,,,,Advertising and PR Services,,,,,,,
,,,,,Computer Hardware,,,,,,,
,,,,,Printing and Publishing,,,,,,,
,,,,,Consumer Packaged Goods Manufacturing,change it,,,,,,
,,,,,Electronics, Components, and Semiconductor Mfg,,,,,
,,,,,Chemicals/Petro-Chemicals,,,,,,,
,,,,,Internet Services,,,,,,,
,,,,,Architectural and Design Services,,,,,,,
,,,,,Wholesale Trade/Import-Export,,,,,,,
,,,,,Travel, Transportation and TourismTransport and Storage - Materials,,,,,,change it
,,,,,Agriculture/Forestry/Fishing,,,,,,,
,,,,,RetailAdvertising and PR ServicesManagement Consulting Services,,,,,,,
,,,,,Entertainment Venues and Theaters,,,,,,,
,,,,,Personal and Household Services,,,,,,Installation/Maintenance/Repair,
,,,,,Waste Management,,,,,,,
,,,,,Metals and Minerals,,,,,,,
,,,,,Sports and Physical Recreation,,,,,,,
