JobID,UserID,WindowID_left,Split_left,ApplicationDate,WindowID_right,Split_right,City,State,Country,ZipCode,DegreeType,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany,User_Major_Cluster,User_Education_Work_Cluster,ClusterUser
169528,47,1,Train,2012-04-04 15:56:23.537,1,0,Paramount,CA,US,90723,1,3,10.0,1,0,0,2,2,62
284009,47,1,Train,2012-04-06 01:03:00.003,1,0,Paramount,CA,US,90723,1,3,10.0,1,0,0,2,2,62
2121,47,1,Train,2012-04-05 02:40:27.753,1,0,Paramount,CA,US,90723,1,3,10.0,1,0,0,2,2,62
848187,47,1,Train,2012-04-05 02:37:02.673,1,0,Paramount,CA,US,90723,1,3,10.0,1,0,0,2,2,62
733748,47,1,Train,2012-04-05 22:44:06.653,1,0,Paramount,CA,US,90723,1,3,10.0,1,0,0,2,2,62
576958,47,1,Train,2012-04-05 02:34:40.223,1,0,Paramount,CA,US,90723,1,3,10.0,1,0,0,2,2,62
262470,47,1,Train,2012-04-05 22:55:03.583,1,0,Paramount,CA,US,90723,1,3,10.0,1,0,0,2,2,62
602298,47,1,Train,2012-04-05 02:38:49.52,1,0,Paramount,CA,US,90723,1,3,10.0,1,0,0,2,2,62
834662,72,1,Train,2012-04-02 22:36:43.033,1,0,La Mesa,CA,US,91941,5,10,8.0,1,0,0,9,14,429
1020903,72,1,Train,2012-04-07 15:19:58.187,1,0,La Mesa,CA,US,91941,5,10,8.0,1,0,0,9,14,429
180313,72,1,Train,2012-04-07 17:38:10.137,1,0,La Mesa,CA,US,91941,5,10,8.0,1,0,0,9,14,429
480634,72,1,Train,2012-04-30 20:05:15.293,1,0,La Mesa,CA,US,91941,5,10,8.0,1,0,0,9,14,429
564184,72,1,Train,2012-04-20 02:51:44.997,1,0,La Mesa,CA,US,91941,5,10,8.0,1,0,0,9,14,429
908909,80,1,Train,2012-04-04 10:53:19.847,1,0,Williamstown,NJ,US,08094,1,5,11.0,1,1,5,1,1,31
1080147,123,1,Train,2012-04-02 20:57:48.883,1,0,Baton Rouge,LA,US,70808,4,1,9.0,1,0,0,9,5,159
1080148,123,1,Train,2012-04-02 21:03:45.093,1,0,Baton Rouge,LA,US,70808,4,1,9.0,1,0,0,9,5,159
688863,131,1,Train,2012-04-02 14:06:37.737,1,0,Houston,TX,US,77077,4,3,14.0,0,0,0,11,8,251
1092900,131,1,Train,2012-04-05 15:08:47.357,1,0,Houston,TX,US,77077,4,3,14.0,0,0,0,11,8,251
50183,131,1,Train,2012-04-05 17:09:34.33,1,0,Houston,TX,US,77077,4,3,14.0,0,0,0,11,8,251
69667,162,1,Train,2012-04-06 14:25:41.41,1,0,Long Beach,CA,US,90807,5,10,25.0,0,0,0,8,10,308
822835,162,1,Train,2012-04-06 14:15:52.387,1,0,Long Beach,CA,US,90807,5,10,25.0,0,0,0,8,10,308
13298,178,1,Train,2012-04-05 10:43:42.337,1,0,Greenville,SC,US,29609,1,6,35.0,0,1,4,1,17,511
148976,203,1,Train,2012-04-02 10:01:27.867,1,0,Colchester,VT,US,05446,5,4,3.0,1,0,0,9,5,159
